LocationID,StreetAddress,City,State,Zip,Phone,Fax,DateOpened,BranchManagerEmployeeID,RegionID
CH001,200 W Madison St,Chicago,IL,60606,312-555-0101,312-555-0199,2/6/2001,NULL,R01
B001,200 W Madison St,Chicago,IL,60606,312-555-0101,312-555-0199,2/6/2001,8359,R01
B002,1234 N Galena Ave,Dixon,IL,61021,815-555-0110,815-555-0190,9/10/2002,1106,R01
B003,75 W Roosevelt Rd,Lombard,IL,60148,630-555-0120,630-555-0191,3/20/2004,7924,R01
B004,900 Lake Cook Rd,Deerfield,IL,60015,847-555-0130,847-555-0192,7/12/2004,5557,R01
B005,210 E State St,Rockford,IL,61104,779-555-0140,779-555-0193,11/5/2003,4527,R01
B006,500 S Neil St,Champaign,IL,61820,217-555-0150,217-555-0194,4/18/2006,4611,R01
B007,100 Main St,Peoria,IL,61602,309-555-0160,309-555-0195,6/22/2006,3547,R01
B008,2222 Butterfield Rd,Oak Brook,IL,60523,630-555-0170,630-555-0196,2/14/2005,5552,R01
B009,1 Plaza Dr,Aurora,IL,60504,630-555-0185,630-555-0197,9/1/2005,7873,R01
B010,1801 W Diehl Rd,Naperville,IL,60563,630-555-0190,630-555-0198,10/30/2005,6574,R01
B011,2200 1st Ave N,Birmingham,AL,35203,205-555-0201,205-555-0299,4/5/2018,2535,R03
B012,200 W Capitol Ave,Little Rock,AR,72201,501-555-0202,501-555-0298,6/18/2012,4582,R04
B013,350 S Grand Ave,Los Angeles,CA,90071,213-555-0203,213-555-0297,2/23/2024,4811,R05
B014,200 Elm St,New Haven,CT,6510,203-555-0204,203-555-0296,9/12/2016,9279,R02
B015,100 N Tampa St,Tampa,FL,33602,813-555-0205,813-555-0295,1/27/2016,1434,R03
B016,50 Peachtree St NW,Atlanta,GA,30303,404-555-0206,404-555-0294,8/3/2019,4257,R03
B017,300 Locust St,Des Moines,IA,50309,515-555-0207,515-555-0293,11/19/2006,9928,R01
B018,201 N Illinois St,Indianapolis,IN,46204,317-555-0208,317-555-0292,3/8/2008,6514,R01
B019,300 W Vine St,Lexington,KY,40507,859-555-0209,859-555-0291,5/16/2010,2674,R01
B020,100 Federal St,Boston,MA,2110,617-555-0210,617-555-0290,10/21/2018,2519,R02
B021,10 Light St,Baltimore,MD,21202,410-555-0211,410-555-0289,4/25/2016,7224,R02
B022,600 Woodward Ave,Detroit,MI,48226,313-555-0212,313-555-0288,12/6/2017,2584,R01
B023,80 S 8th St,Minneapolis,MN,55402,612-555-0213,612-555-0287,7/14/2016,6881,R01
B024,701 Commerce St,Jackson,MS,39201,601-555-0214,601-555-0286,9/30/2014,6635,R03
B025,1 E Broadway St,Missoula,MT,59802,406-555-0215,406-555-0285,11/9/2018,5333,R05
B026,227 W Trade St,Charlotte,NC,28202,704-555-0216,704-555-0284,2/11/2012,1711,R03
B027,1 Newark Ctr,Newark,NJ,7102,973-555-0217,973-555-0283,6/29/2010,8527,R02
B028,200 Park Ave,New York,NY,10166,212-555-0218,212-555-0282,3/17/2017,9785,R02
B029,200 Civic Center Dr,Columbus,OH,43215,614-555-0219,614-555-0281,2/2/2015,3045,R01
B030,1735 Market St,Philadelphia,PA,19103,215-555-0220,215-555-0280,5/28/2019,7201,R02
B031,151 Meeting St,Charleston,SC,29401,843-555-0221,843-555-0279,9/7/2017,6501,R03
B032,600 Congress Ave,Austin,TX,78701,512-555-0222,512-555-0278,1/19/2011,2252,R04
B033,919 E Main St,Richmond,VA,23219,804-555-0223,804-555-0277,12/15/2014,4015,R03
B034,1201 3rd Ave,Seattle,WA,98101,206-555-0224,206-555-0276,11/30/2010,1056,R05
B035,111 W Washington Ave,Madison,WI,53703,608-555-0225,608-555-0275,5/3/2016,1022,R01
